path,datetime,size_MB
2025-06-01/0734.tar,2025-06-01 07:34,2068.06
2025-06-01/0740.tar,2025-06-01 07:40,2632.46
2025-06-01/0750.tar,2025-06-01 07:50,2415.18
2025-06-01/0800.tar,2025-06-01 08:00,3026.76
2025-06-01/0810.tar,2025-06-01 08:10,1679.07
2025-06-01/0820.tar,2025-06-01 08:20,1826.63
2025-06-01/0830.tar,2025-06-01 08:30,1875.43
2025-06-01/0840.tar,2025-06-01 08:40,2132.26
2025-06-01/0850.tar,2025-06-01 08:50,2213.62
2025-06-01/0900.tar,2025-06-01 09:00,2214.56
2025-06-01/0910.tar,2025-06-01 09:10,2230.22
2025-06-01/0920.tar,2025-06-01 09:20,2083.55
2025-06-01/0930.tar,2025-06-01 09:30,1955.99
2025-06-01/0940.tar,2025-06-01 09:40,2990.64
2025-06-01/0950.tar,2025-06-01 09:50,3696.35
2025-06-01/1000.tar,2025-06-01 10:00,3692.94
2025-06-01/1010.tar,2025-06-01 10:10,4666.23
2025-06-01/1020.tar,2025-06-01 10:20,5614.7
2025-06-01/1030.tar,2025-06-01 10:30,3032.15
2025-06-01/1040.tar,2025-06-01 10:40,2431.79
2025-06-01/1050.tar,2025-06-01 10:50,2402.3
2025-06-01/1100.tar,2025-06-01 11:00,2339.36
2025-06-01/1110.tar,2025-06-01 11:10,1973.13
2025-06-01/1120.tar,2025-06-01 11:20,1987.34
2025-06-01/1130.tar,2025-06-01 11:30,1984.66
2025-06-01/1140.tar,2025-06-01 11:40,2124.24
2025-06-01/1150.tar,2025-06-01 11:50,2247.78
2025-06-01/1200.tar,2025-06-01 12:00,2240.85
2025-06-01/1210.tar,2025-06-01 12:10,2217.08
2025-06-01/1220.tar,2025-06-01 12:20,5296.91
2025-06-01/1230.tar,2025-06-01 12:30,4836.65
2025-06-01/1240.tar,2025-06-01 12:40,6269.17
2025-06-01/1250.tar,2025-06-01 12:50,6447.38
2025-06-01/1300.tar,2025-06-01 13:00,3137.65
2025-06-01/1310.tar,2025-06-01 13:10,2139.39
2025-06-01/1320.tar,2025-06-01 13:20,2181.61
2025-06-01/1330.tar,2025-06-01 13:30,2154.08
2025-06-01/1340.tar,2025-06-01 13:40,2138.45
2025-06-01/1350.tar,2025-06-01 13:50,2307.64
2025-06-01/1400.tar,2025-06-01 14:00,2080.15
2025-06-01/1410.tar,2025-06-01 14:10,1829.95
2025-06-01/1420.tar,2025-06-01 14:20,1668.45
2025-06-01/1430.tar,2025-06-01 14:30,5434.11
2025-06-01/1440.tar,2025-06-01 14:40,5147.83
2025-06-01/1450.tar,2025-06-01 14:50,5202.28
2025-06-01/1500.tar,2025-06-01 15:00,5337.37
2025-06-01/1510.tar,2025-06-01 15:10,4876.64
2025-06-01/1520.tar,2025-06-01 15:20,4056.85
2025-06-01/1530.tar,2025-06-01 15:30,3109.29
2025-06-01/1540.tar,2025-06-01 15:40,2926.68
2025-06-01/1550.tar,2025-06-01 15:50,2612.54
2025-06-01/1600.tar,2025-06-01 16:00,2619.15
2025-06-01/1610.tar,2025-06-01 16:10,1768.37
2025-06-01/1620.tar,2025-06-01 16:20,1773.62
2025-06-01/1630.tar,2025-06-01 16:30,1713.81
2025-06-01/1640.tar,2025-06-01 16:40,1534.71
2025-06-01/1650.tar,2025-06-01 16:50,1628.7
2025-06-01/1700.tar,2025-06-01 17:00,2516.46
2025-06-01/1710.tar,2025-06-01 17:10,5806.77
2025-06-01/1720.tar,2025-06-01 17:20,5695.73
2025-06-01/1730.tar,2025-06-01 17:30,5543.62
2025-06-01/1740.tar,2025-06-01 17:40,2127.12
2025-06-01/1750.tar,2025-06-01 17:50,1586.76
2025-06-01/1800.tar,2025-06-01 18:00,1865.4
2025-06-01/1810.tar,2025-06-01 18:10,1837.43
2025-06-01/1820.tar,2025-06-01 18:20,2033.57
2025-06-01/1830.tar,2025-06-01 18:30,3825.5
2025-06-01/1840.tar,2025-06-01 18:40,7860.36
2025-06-01/1850.tar,2025-06-01 18:50,9970.65
2025-06-01/1900.tar,2025-06-01 19:00,9333.01
2025-06-01/1910.tar,2025-06-01 19:10,9292.7
2025-06-01/1920.tar,2025-06-01 19:20,9147.9
2025-06-01/1930.tar,2025-06-01 19:30,10799.29
2025-06-01/1940.tar,2025-06-01 19:40,11734.3
2025-06-01/1950.tar,2025-06-01 19:50,12973.2
2025-06-01/2000.tar,2025-06-01 20:00,13078.64
2025-06-01/2010.tar,2025-06-01 20:10,12504.84
2025-06-01/2020.tar,2025-06-01 20:20,12320.26
2025-06-01/2030.tar,2025-06-01 20:30,12148.84
2025-06-01/2040.tar,2025-06-01 20:40,12016.63
2025-06-01/2050.tar,2025-06-01 20:50,12061.23
2025-06-01/2100.tar,2025-06-01 21:00,12058.04
2025-06-01/2110.tar,2025-06-01 21:10,12229.27
2025-06-01/2120.tar,2025-06-01 21:20,12121.75
2025-06-01/2130.tar,2025-06-01 21:30,11387.76
2025-06-01/2140.tar,2025-06-01 21:40,11405.76
2025-06-01/2150.tar,2025-06-01 21:50,11530.71
2025-06-01/2200.tar,2025-06-01 22:00,10461.92
2025-06-01/2210.tar,2025-06-01 22:10,12014.82
2025-06-01/2220.tar,2025-06-01 22:20,8915.61
2025-06-01/2230.tar,2025-06-01 22:30,6827.22
2025-06-01/2240.tar,2025-06-01 22:40,6410.16
2025-06-01/2250.tar,2025-06-01 22:50,5190.64
2025-06-01/2300.tar,2025-06-01 23:00,3927.93
2025-06-01/2310.tar,2025-06-01 23:10,4433.44
2025-06-01/2320.tar,2025-06-01 23:20,4646.97
2025-06-01/2330.tar,2025-06-01 23:30,6040.49
2025-06-01/2340.tar,2025-06-01 23:40,5481.58
2025-06-01/2350.tar,2025-06-01 23:50,3946.79
2025-06-02/0000.tar,2025-06-02 00:00,3267.98
2025-06-02/0010.tar,2025-06-02 00:10,3218.69
2025-06-02/0020.tar,2025-06-02 00:20,3217.14
2025-06-02/0030.tar,2025-06-02 00:30,2657.99
2025-06-02/0040.tar,2025-06-02 00:40,3263.86
2025-06-02/0050.tar,2025-06-02 00:50,4956.87
2025-06-02/0100.tar,2025-06-02 01:00,3726.01
2025-06-02/0110.tar,2025-06-02 01:10,3649.43
2025-06-02/0120.tar,2025-06-02 01:20,3992.54
2025-06-02/0130.tar,2025-06-02 01:30,4360.72
2025-06-02/0140.tar,2025-06-02 01:40,4425.13
2025-06-02/0150.tar,2025-06-02 01:50,4142.87
2025-06-02/0200.tar,2025-06-02 02:00,3981.81
2025-06-02/0210.tar,2025-06-02 02:10,4950.28
2025-06-02/0220.tar,2025-06-02 02:20,6371.92
2025-06-02/0230.tar,2025-06-02 02:30,6219.92
2025-06-02/0240.tar,2025-06-02 02:40,5941.53
2025-06-02/0250.tar,2025-06-02 02:50,5904.89
2025-06-02/0300.tar,2025-06-02 03:00,5972.88
2025-06-02/0310.tar,2025-06-02 03:10,5905.15
2025-06-02/0320.tar,2025-06-02 03:20,6546.33
2025-06-02/0330.tar,2025-06-02 03:30,4118.5
2025-06-02/0340.tar,2025-06-02 03:40,4982.64
2025-06-02/0350.tar,2025-06-02 03:50,7528.56
2025-06-02/0400.tar,2025-06-02 04:00,8175.96
2025-06-02/0410.tar,2025-06-02 04:10,7867.32
2025-06-02/0420.tar,2025-06-02 04:20,7673.69
2025-06-02/0430.tar,2025-06-02 04:30,6785.56
2025-06-02/0440.tar,2025-06-02 04:40,6221.06
2025-06-02/0450.tar,2025-06-02 04:50,7888.01
2025-06-02/0500.tar,2025-06-02 05:00,7386.14
2025-06-02/0510.tar,2025-06-02 05:10,6690.96
2025-06-02/0520.tar,2025-06-02 05:20,6774.42
2025-06-02/0530.tar,2025-06-02 05:30,6759.78
2025-06-02/0540.tar,2025-06-02 05:40,6615.31
2025-06-02/0550.tar,2025-06-02 05:50,6289.64
2025-06-02/0600.tar,2025-06-02 06:00,6250.93
2025-06-02/0610.tar,2025-06-02 06:10,5483.25
2025-06-02/0620.tar,2025-06-02 06:20,5162.26
2025-06-02/0630.tar,2025-06-02 06:30,4623.77
2025-06-02/0640.tar,2025-06-02 06:40,4537.14
2025-06-02/0650.tar,2025-06-02 06:50,4192.92
2025-06-02/0700.tar,2025-06-02 07:00,3921.62
2025-06-02/0710.tar,2025-06-02 07:10,4037.15
2025-06-02/0720.tar,2025-06-02 07:20,4604.6
2025-06-02/0730.tar,2025-06-02 07:30,5995.42
2025-06-02/0740.tar,2025-06-02 07:40,7572.48
2025-06-02/0750.tar,2025-06-02 07:50,8969.77
2025-06-02/0800.tar,2025-06-02 08:00,8428.19
2025-06-02/0810.tar,2025-06-02 08:10,8833.5
2025-06-02/0820.tar,2025-06-02 08:20,7952.44
2025-06-02/0830.tar,2025-06-02 08:30,7467.02
2025-06-02/0840.tar,2025-06-02 08:40,8946.24
2025-06-02/0850.tar,2025-06-02 08:50,9458.1
2025-06-02/0900.tar,2025-06-02 09:00,7815.33
2025-06-02/0910.tar,2025-06-02 09:10,6575.33
2025-06-02/0920.tar,2025-06-02 09:20,6496.97
2025-06-02/0930.tar,2025-06-02 09:30,6233.45
2025-06-02/0940.tar,2025-06-02 09:40,6080.56
2025-06-02/0950.tar,2025-06-02 09:50,6538.49
2025-06-02/1000.tar,2025-06-02 10:00,6366.04
2025-06-02/1010.tar,2025-06-02 10:10,6433.84
2025-06-02/1020.tar,2025-06-02 10:20,6053.19
2025-06-02/1030.tar,2025-06-02 10:30,7177.83
2025-06-02/1040.tar,2025-06-02 10:40,7318.95
2025-06-02/1050.tar,2025-06-02 10:50,7425.65
2025-06-02/1100.tar,2025-06-02 11:00,7519.37
2025-06-02/1110.tar,2025-06-02 11:10,7308.4
2025-06-02/1120.tar,2025-06-02 11:20,7189.1
2025-06-02/1130.tar,2025-06-02 11:30,7242.88
2025-06-02/1140.tar,2025-06-02 11:40,7009.53
2025-06-02/1150.tar,2025-06-02 11:50,7023.24
2025-06-02/1200.tar,2025-06-02 12:00,5320.67
2025-06-02/1210.tar,2025-06-02 12:10,5546.13
2025-06-02/1220.tar,2025-06-02 12:20,5333.94
2025-06-02/1230.tar,2025-06-02 12:30,4993.11
2025-06-02/1240.tar,2025-06-02 12:40,3901.25
2025-06-02/1250.tar,2025-06-02 12:50,4374.74
2025-06-02/1300.tar,2025-06-02 13:00,3958.98
2025-06-02/1310.tar,2025-06-02 13:10,6204.12
2025-06-02/1320.tar,2025-06-02 13:20,4975.14
